name,mapping_from,tool_full_name,Interesting_concepts_thesis,status,Status comment,tool_source,homepage_url,repo_url,publication_url,"tool_origin",company_url,Short Description,type,domain,open_source,license
CoreFlow,,,,Inactive,Demo still running at http://coreflow.mshri.on.ca,Existing Workflow systems,https://pubmed.ncbi.nlm.nih.gov/24503186/,https://github.com/pasculescu/CoreFlow,https://pubmed.ncbi.nlm.nih.gov/24503186/,Academia,,"CoreFlow: a computational platform for integration, analysis and modeling of complex biological data",Computational pipeline; Data analysis; Mass spectrometry; Statistical analysis; Workflow.,bioinformatics,,
dynamic-pipeline,,,,Inactive,,Existing Workflow systems,https://code.google.com/archive/p/dynamic-pipeline/,https://github.com/mairarodrigues/dynamic-pipeline,https://bmcbioinformatics.biomedcentral.com/articles/10.1186/1471-2105-13-163,Academia,,"The dynamic pipeline project is a graph-based approach towards extensible pipelines. It allows you to compose pipelines on-the-fly, depending on the required functionality. In this way, you don't need to create one specific pipeline for each task that you want to execute. To use the dynamic pipeline system you need only to download the project package and instantiate the Tool Registry with your own tools.","DAG, pipeline",general-purpose pipeline,,
XiP,,,no,Code not found,,Existing Workflow systems,http://xip.hgc.jp/,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3530915/,Academia,,"XiP (eXtensible integrative Pipeline) is a flexible, editable and modular environment with a user-friendly interface that does not require previous advanced programming skills to run, construct and edit workflows. XiP allows the construction of workflows by linking components written in both R and Java, the analysis of high-throughput data in grid engine systems and also the development of customized pipelines that can be encapsulated in a package and distributed. XiP already comes with several ready-to-use pipeline flows for the most common genomic and transcriptomic analysis and ∼300 computational components",,"workflow, bioinformatics",yes,
Eoulsan,,,maybe,Active,,Existing Workflow systems,https://www.outils.genomique.biologie.ens.fr/eoulsan/,https://github.com/GenomiqueENS/eoulsan,https://pubmed.ncbi.nlm.nih.gov/22492314/,Academia,,"Eoulsan is a versatile framework based on the Hadoop implementation of the MapReduce algorithm, dedicated to high throughput sequencing data analysis on distributed computers. With Eoulsan, users can easily set up a cloud computing cluster and automate the analysis of several samples at once using various software solutions available. Working either on standalone workstations or cloud computing clusters, Eoulsan provides an integrated and flexible solution for RNA-Seq data analysis of differential expression.","RNA-seq workflow, docker, container","Wokflow engine, NGS, genomics",yes,
CloudDOE,,,no,Inactive,,Existing Workflow systems,http://clouddoe.iis.sinica.edu.tw/,https://github.com/CSCLabTW/CloudDOE,https://doi.org/10.1371/journal.pone.0098146,Academia,,"CloudDOE is a user friendly software package to deploy, operate and extend a
MapReduce-based bioinformatics environment, which is collectively denoted as a
CloudDOE Cloud. A CloudDOE Cloud consists of a Hadoop MapReduce computing
framework and specific bioinformatics data analysis tools, e.g., CloudBurst,
CloudBrush, and CloudRS.","mapreduce, deploy, operate, hadoop","Big Data, mapreduce, bioinformatics",yes,
BioPig,,,no,Inactive,,Existing Workflow systems,,https://github.com/JGI-Bioinformatics/biopig,https://pubmed.ncbi.nlm.nih.gov/24021384/,Academia,,"This project provides additional apache pig commands and data loaders/writers specific
for biologicial sequence data.  Specifically, biopig supports the following functionality:
  - load fasta and fastq files
  - filter sequence data by id, header or size
  - generate kmers
  - wrappers for common external programs (Blast, Newbler, velvet, cap3, etc)

With biopig, users can write data parallel analysis tools that get executed on a hadoop
map/reduce cluster such as NERSC's Magellan or AWS's Elastic MapReduce.","mapreduce, deploy, operate, hadoop","Big Data, map reduce, bioinformatics",yes,
SeqPig,,,no,Inactive,,Existing Workflow systems,,https://github.com/HadoopGenomics/SeqPig,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3866557/,Academia,,"SeqPig is a library of import and export functions for file formats
commonly used in bioinformatics for Apache Pig. Additionally, it
provides a collection of Pig user-defined functions (UDF's) that allow
for processing of aligned and unaligned sequence data. Currently
SeqPig supports BAM/SAM, FastQ and Qseq input and output and FASTA
input. It is built on top of the Hadoop-BAM library. Fore more
information see","Apache Pig, Hadoop","Big Date, bioinformatics",yes,
Zymake,,,no,Inactive,,Existing Workflow systems,http://www-personal.umich.edu/~ebreck/code/zymake/,https://github.com/samuell/zymake-mirror,https://dl.acm.org/doi/10.5555/1622110.1622113,Academia,,"zymake is a high-level language for running complex sets of experiments. The user writes a zymakefile, mostly consisting of parameterized shell commands, and zymake determines the dependency structure and executes the commands in the appropriate order.
make-like semantics, shell-like syntaxexecution order follows dependencies, files are rebuilt only if older than
   files on which they depend, etc.all filenames are inferred by the system a file is determined by a set of key-value pairs, such as ""method=svm""
    or ""number-of-hidden-units=10""simple interpolation syntax: everything apart from whitespace 
  and $(...) is passed untouched to the shell for execution.parallel executio","make, shell, workflow, dependencies, parallel execution","make-like, shell-live",yes,
JMS,,,no,,,Existing Workflow systems,,https://github.com/RUBi-ZA/JMS,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0134273,Academia,,"JMS is a workflow management system and web-based cluster 
front-end for High Performance Computing (HPC) environments. It provides
 an interface to Torque (or similar resource managers) that allows users
 to submit and manage jobs as well as manage, configure and monitor the 
status of their cluster.
In addition to interfacing with a resource manager, JMS 
provides a fully-functional workflow management system that allows users
 to create complex computational pipelines via an easy-to-use, web 
interface. Users can upload their scripts, interface with installed 
programs on their cluster, or both, to build their workflows.
JMS was originally developed for use in the field of 
bioinformatics. It is, however, applicable to any scientific field that 
requires computationally intensive analysis to be performed over a 
cluster. It can also be used to integrate workflows into 3rd party 
websites via it's RESTful web API. JMS is is also a useful tool for 
system administrators who simply want to monitor and manage their 
cluster.","HPC, wfms",workflow managment system,yes,
QIAGEN CLC Genomics Workbench,CLC Genomics Workbench,,no,,,Existing Workflow systems,https://digitalinsights.qiagen.com/products-overview/discovery-insights-portfolio/analysis-and-visualization/qiagen-clc-genomics-workbench/,,,Enterprise,,,"NGS, workflow, data analysis","genomic, NGS",no,
NG6,,,no,Inactive,"Source code not available, homepage lst update in 2018",Existing Workflow systems,https://ng6.toulouse.inra.fr/,,https://bmcgenomics.biomedcentral.com/articles/10.1186/1471-2164-13-462,Academia,,"We describe a user-friendly information system able to manage large sets of sequencing data. It includes, on one hand, a workflow environment already containing pipelines adapted to different input formats (sff, fasta, fastq and qseq), different sequencers (Roche 454, Illumina HiSeq) and various analyses (quality control, assembly, alignment, diversity studies,…) and, on the other hand, a secured web site giving access to the results. The connected user will be able to download raw and processed data and browse through the analysis result statistics. The provided workflows can easily be modified or extended and new ones can be added. Ergatis is used as a workflow building, running and monitoring system. The analyses can be run locally or in a cluster environment using Sun Grid Engine.","NGS, local, cluster, workflow","genomic, NGS",yes,
